id,nom_article,code_barres,date_peremption,PAU,PVU,PVG,categorie_id
1909,"SHERIDAN,S- COFFEE LAYEERED 15.5%VOL",5011013500642,,10000,15500,,1
1910,CLOSEUP DEEP ACTIN 160G,8934839120979,,584,750,,1
1911,NICOL.S VODKA ORIGINL,8901591003116,,1875,2500,,1
1912,"NICOL,S VODKA DAK CHOCOLATE",8901591004281,,1875,2500,,1
1913,MONTELAGO COSECHA 13%VOL,8410261131283,,1500,2250,,1
1914,"GRAND MASTER,S VODKA 750ML BLUE CURACAO",8904193411648,,2084,2500,,1
1915,2500GRAND MASTERS 2500f,,,2084,2500,,1
1916,NEON APPLE VODKA,8904020701119,,1750,2500,,1
1917,NEON CHOCOLATE VODKA,8904020701805,,1750,2500,,1
1918,NEON ORANGE VODKA,8904020701140,,1750,2500,,1
1919,NEON PINEAPPLE VODKA,8904020701089,,1750,2500,,1
1920,CLEOPATRA WHISKY 750ML 43%V\V,8908004673096,,1667,2500,,1
1921,BELLWETHER PURE GRAIN WHISKY 750ML 42.8%,8904020702109,,1917,2500,,1
